"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
DGRSC,Document Generation Showcase,"https://github.com/bcgov/document-generation-showcase
Used to demonstrate the capabilities of CDOGS",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,N/A,N/A,PAAS
DIM,Digital Image Management - RETIRED,"The Digital Image Management (DIM) Program was initiated by the Base Mapping and Geomatics Services Branch of the Integrated Land Management Bureau. The purpose of this program is to establish and maintain a semi-automated, computer-based system to support the acquisition, discovery, management, and distribution of geographic digital imagery for the Province of British Columbia. This corporate service is particularly important to Ministry of Agriculture and Lands, the Ministry of Forests, the Ministry of Environment, and many external clients.  DIM is more of a work area than an application. 

PROJECT IS NOW CLOSED

Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Integrated Resource Operations Division, GEOBC, Base Mapping",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
DIRMAILSYS,Direct Mailing - RETIRED,"The Direct Mailing Systems` (DMS) primary purpose is to proactively manage the distribution of publications and consultations to targeted audiences in government, private business, and the general public.  To carry this out the system maintains information about organizations, people, publications, consultations and surveys, and the relationships between each.

It is the mandate of the Public Affairs Branch to inform the public of the status of the environment.  To do this effectively and cost efficiently Public Affairs must understand the interests and concerns of individuals within the public.  Broadcasting all publications and information to all members of the public is a wasteful process that goes against environmental common sense.  DMS allows Public Affairs to identify interests within the public and to direct relevant publications to those interested parties in a cost-effective manner.  DMS will enable Public Affairs to more effectively inform and respond to the public with an overall reduction in cost.

The system was developed using the Oracle CASE tools, database and development environment.  As such, it is an open system easily ported into a variety of platforms.  Currently it is developed in a host-based mode which allows access from a wide variety of platforms.  

The diagram on the next page demonstrates the high level functional model of DMS.  Following this diagram is a description of each of the modules.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Information Innovation and Technology Division, N/A, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
DISPATCH,Dispatch (COTS),"Used by dispatchers and 1-800 Centre staff to identify, view and monitor exact locations of ground and air resources used to fight fires.  It tracks and displays initial phone and fire reports, air tanker requests, fires, lightning, and other fire-related information in the form of graphic map displays. New version includes PRT functionality.

Resource Provisioning Tool: (to add)
https://wfapps.nrs.gov.bc.ca/pub/dispatch-webapps/resourceProvisioning/index

Requires the installation of a PC/Laptop Launcher Dispatch application from Software Centre.

Legacy managed in JIRA project WFLAS.
New managed in JIRA project DISPATCH. 

Status re-verified as per BPM - Nov 2019

2023-11-28 Beverley Moysey - removed association to server DRAKE with comment `LEGACY Alias DispatchExtP1 and Bubble Launch code`",,Ministry of Forests,BC Wildfire Service,N/A,N/A,COTS
DISRMS,Digital Image Services Raster Management System,"The Raster Management System (DISRMS) manages the metadata and files for the Province`s digital image library. The metadata includes information about the acquisition (data provide, dates), image characteristics (type, resolution, projection), file location (server, folders, file names), and the history of changes to other objects. The DISRMS has a web application for the management of the metadata in the database.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=8139fae578b7451891d91ea2df47746d,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
DMOD,Document Management Onboarding Demo,This is a sample app built to show how to onboarding an application build in Openshift to the Document Management service.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,N/A,N/A,PAAS
DMS,Document Management Services,"Document management is a simple service to manage documents that are either generated or uploaded by proponents. Documents will be stored in a common location with the ability to search for content across many systems. 

For infrastructure and midtier changes, testing and verification is completed through Line-of-business test cases: ARTS, AS/NROS, FNCS, FNP, RAR(2), RRS, SNCSC, FTA",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Digital Partnerships and Solutions,Development & Digital Services,ISSSSVC
DMSAPIV1,DMS NRS Document Management Service Component API V1,fill out description,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Digital Partnerships and Solutions,Development & Digital Services,ISSSAPI
DRA,Digital Road Atlas,The DRA is a database product of the GBAITN (GeoBC Atlas Integrated Transportation network) which has been fully operational since January 2014. It is not an application. ,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,DS
DRAD,Data Review and Distribution Service - RETIRED,"Data Review and Distribution Service - Validation and Navigation Framework - *this application is retired. 

From former BSD WIKI:
URL - http://srmapps.gov.bc.ca/apps/drad
Database Server - SLKUX1
Server - SRMAPPS

Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Integrated Resource Operations Division, GEOBC, Base Mapping",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
DRDB,Dean River Database,"Used to enter, update, query, create customized reports from Dean River angler reports.
This MS Access database is run off a workstation that has no network access. A CD Backup is created periodically and brought for storage to headquarters.",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Digital Services,UNKNOWN,DS
DRP_WHSE,DRP_WHSE,"Disaster Response Planning (DRP) is a container that was created to support the 2010 Olympics, where data was published into the BCGW for planning and response purposes. The data is maintained by GeoBC. 

Includes such things as:

WHSE_IMAGERY_AND_BASE_MAPS. DRP_DISASTER_RESPONSE_POINT_SP

WHSE_IMAGERY_AND_BASE_MAPS. DRP_DISASTER_RESPONSE_ZONE_SP

updated BPM September 16, 2015 - KK",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,GeoBC and NR Sector Data Services,UNKNOWN,DS
DSC,Information Security Classification,"Information Security Classification (CLASSY) is an application used to classify data based on the Information Security Classification Standard published by the BC Government OCIO.

Data Custodian`s representatives, Data Standards Managers, and Data Security Architects are able to apply data security classification at the application, table and column levels for data held in NRS databases. 

The classification can then be used to determine access to the data.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,NR Sector Digital Services,Architecture & Business Strategy,STD
